date,hits,geo,time,keyword,gprop,category
1/17/2016,56,US,today+5-y,mobile,web,0
1/24/2016,28,US,today+5-y,mobile,web,0
1/31/2016,36,US,today+5-y,mobile,web,0
2/7/2016,27,US,today+5-y,mobile,web,0
2/14/2016,45,US,today+5-y,mobile,web,0
2/21/2016,54,US,today+5-y,mobile,web,0
2/28/2016,53,US,today+5-y,mobile,web,0
3/6/2016,42,US,today+5-y,mobile,web,0
3/13/2016,49,US,today+5-y,mobile,web,0
3/20/2016,37,US,today+5-y,mobile,web,0
3/27/2016,43,US,today+5-y,mobile,web,0
4/3/2016,36,US,today+5-y,mobile,web,0
4/10/2016,46,US,today+5-y,mobile,web,0
4/17/2016,27,US,today+5-y,mobile,web,0
4/24/2016,36,US,today+5-y,mobile,web,0
5/1/2016,42,US,today+5-y,mobile,web,0
5/8/2016,19,US,today+5-y,mobile,web,0
5/15/2016,31,US,today+5-y,mobile,web,0
5/22/2016,38,US,today+5-y,mobile,web,0
5/29/2016,39,US,today+5-y,mobile,web,0
6/5/2016,19,US,today+5-y,mobile,web,0
6/12/2016,19,US,today+5-y,mobile,web,0
6/19/2016,19,US,today+5-y,mobile,web,0
6/26/2016,39,US,today+5-y,mobile,web,0
7/3/2016,30,US,today+5-y,mobile,web,0
7/10/2016,39,US,today+5-y,mobile,web,0
7/17/2016,20,US,today+5-y,mobile,web,0
7/24/2016,19,US,today+5-y,mobile,web,0
7/31/2016,20,US,today+5-y,mobile,web,0
8/7/2016,20,US,today+5-y,mobile,web,0
8/14/2016,21,US,today+5-y,mobile,web,0
8/21/2016,33,US,today+5-y,mobile,web,0
8/28/2016,25,US,today+5-y,mobile,web,0
9/4/2016,19,US,today+5-y,mobile,web,0
9/11/2016,18,US,today+5-y,mobile,web,0
9/18/2016,18,US,today+5-y,mobile,web,0
9/25/2016,37,US,today+5-y,mobile,web,0
10/2/2016,24,US,today+5-y,mobile,web,0
10/9/2016,28,US,today+5-y,mobile,web,0
10/16/2016,24,US,today+5-y,mobile,web,0
10/23/2016,27,US,today+5-y,mobile,web,0
10/30/2016,24,US,today+5-y,mobile,web,0
11/6/2016,40,US,today+5-y,mobile,web,0
11/13/2016,18,US,today+5-y,mobile,web,0
11/20/2016,19,US,today+5-y,mobile,web,0
11/27/2016,42,US,today+5-y,mobile,web,0
12/4/2016,25,US,today+5-y,mobile,web,0
12/11/2016,51,US,today+5-y,mobile,web,0
12/18/2016,25,US,today+5-y,mobile,web,0
12/25/2016,47,US,today+5-y,mobile,web,0
1/1/2017,44,US,today+5-y,mobile,web,0
1/8/2017,40,US,today+5-y,mobile,web,0
1/15/2017,34,US,today+5-y,mobile,web,0
1/22/2017,58,US,today+5-y,mobile,web,0
1/29/2017,55,US,today+5-y,mobile,web,0
2/5/2017,33,US,today+5-y,mobile,web,0
2/12/2017,38,US,today+5-y,mobile,web,0
2/19/2017,44,US,today+5-y,mobile,web,0
2/26/2017,31,US,today+5-y,mobile,web,0
3/5/2017,64,US,today+5-y,mobile,web,0
3/12/2017,33,US,today+5-y,mobile,web,0
3/19/2017,39,US,today+5-y,mobile,web,0
3/26/2017,25,US,today+5-y,mobile,web,0
4/2/2017,66,US,today+5-y,mobile,web,0
4/9/2017,57,US,today+5-y,mobile,web,0
4/16/2017,75,US,today+5-y,mobile,web,0
4/23/2017,55,US,today+5-y,mobile,web,0
4/30/2017,66,US,today+5-y,mobile,web,0
5/7/2017,34,US,today+5-y,mobile,web,0
5/14/2017,54,US,today+5-y,mobile,web,0
5/21/2017,18,US,today+5-y,mobile,web,0
5/28/2017,31,US,today+5-y,mobile,web,0
6/4/2017,30,US,today+5-y,mobile,web,0
6/11/2017,30,US,today+5-y,mobile,web,0
6/18/2017,35,US,today+5-y,mobile,web,0
